,history_deleted,owner_id,subtasks_expired,subtasks_failed,transfer_events,nice_status,source_endpoint_id,effective_bytes_per_second,symlinks,status,preserve_timestamp,username,is_paused,@version,source_endpoint_display_name,destination_endpoint,nice_status_details,wf_uuid,deadline,verify_checksum,DATA_TYPE,files_skipped,subtasks_succeeded,@timestamp,destination_endpoint_display_name,subtasks_retrying,files,subtasks_pending,task_id,delete_destination_extra,subtasks_canceled,dag_job_id,request_time,subtasks_total,files_transferred,nice_status_short_description,sync_level,recursive_symlinks,source_endpoint,bytes_checksummed,encrypt_data,label,bytes_transferred,fatal_error,destination_endpoint_id,event,command,type,canceled_by_admin_message,completion_time,directories,nice_status_expires_in,canceled_by_admin,faults
0,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:40+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 2\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:40+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 25989,\n  ""mbps"": 0.19,\n  ""duration"": 1.09\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:39+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,360,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:25+00:00,False,task,0,4,2018-06-27T21:56:50.430Z,georgepap#exo-master2,0,2,0,cc331c81-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_1,2018-06-27 21:55:28+00:00,4,2,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_1,25989,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:40+00:00,0,,,0
1,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:36+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:36+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 1710,\n  ""mbps"": 0.02,\n  ""duration"": 0.71\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:35+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,24,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:21+00:00,False,task,0,2,2018-06-27T21:56:45.820Z,georgepap#exo-master2,0,1,0,ca1ed524-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_0_2,2018-06-27 21:55:24+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_0_2,1710,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:36+00:00,0,,,0
2,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:32+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:32+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 19473567,\n  ""mbps"": 35.69,\n  ""duration"": 4.36\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:27+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 261476352,\n  ""mbps"": 34.36,\n  ""duration"": 60.88\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:55:26+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,710427ca-7331-11e8-9393-0a6d4e044368,4133094,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-data2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:21+00:00,False,task,0,2,2018-06-27T21:56:35.671Z,georgepap#exo-master2,0,1,0,ca196dc8-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_0_0,2018-06-27 21:55:24+00:00,2,1,,,ignore,georgepap#exo-data2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_0_0,280949919,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:32+00:00,0,,,0
3,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:40+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 2\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:40+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 10208,\n  ""mbps"": 0.07,\n  ""duration"": 1.18\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:39+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,710427ca-7331-11e8-9393-0a6d4e044368,143,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-data2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:25+00:00,False,task,0,4,2018-06-27T21:56:50.461Z,georgepap#exo-master2,0,2,0,cc331c83-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_0,2018-06-27 21:55:28+00:00,4,2,,,ignore,georgepap#exo-data2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_0,10208,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:40+00:00,0,,,0
4,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:55:25+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:55:25+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 365,\n  ""mbps"": 0.0,\n  ""duration"": 0.74\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:55:24+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,88,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:19+00:00,False,task,0,2,2018-06-27T21:55:31.805Z,georgepap#exo-master2,0,1,0,c8c84a66-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_1_0,2018-06-27 21:55:21+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_1_0,365,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:55:25+00:00,0,,,0
5,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 22:00:54+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 22:00:54+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 56,\n  ""mbps"": 0.0,\n  ""duration"": 0.81\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 22:00:53+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,14,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 22:00:47+00:00,False,task,0,2,2018-06-27T22:01:00.178Z,georgepap#exo-master2,0,1,0,8ce080da-7a55-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_2,2018-06-27 22:00:50+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_2,56,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 22:00:54+00:00,0,,,0
6,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:58:16+00:00', 'is_error': True, 'description': 'canceled', 'details': 'Canceled by the task owner', 'DATA_TYPE': 'event', 'code': 'CANCELED'}, {'parent_task_id': None, 'time': '2018-06-27 21:57:50+00:00', 'is_error': True, 'description': 'file not found', 'details': '{\n  ""context"": [\n    {\n      ""operation"": ""Directory List / File Scan"",\n      ""path"": ""/home/panorama/1000genome-workflow/bin/individuals_wrapper.sh""\n    }\n  ],\n  ""error"": {\n    ""body"": ""550-GlobusError: v=1 c=PATH_NOT_FOUND\\\\r\\\\n550-GridFTP-Errno: 2\\\\r\\\\n550-GridFTP-Reason: System error in stat\\\\r\\\\n550-GridFTP-Error-String: No such file or directory\\\\r\\\\n550 End.\\\\r\\\\n"",\n    ""code"": 550,\n    ""endpoint"": ""georgepap#exo-data2 (710427ca-7331-11e8-9393-0a6d4e044368)"",\n    ""server"": ""gsiftp://165.124.159.6:2811"",\n    ""type"": ""FTPServerError""\n  }\n}', 'DATA_TYPE': 'event', 'code': 'FILE_NOT_FOUND'}, {'parent_task_id': None, 'time': '2018-06-27 21:57:18+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}, {'parent_task_id': None, 'time': '2018-06-27 21:57:17+00:00', 'is_error': True, 'description': 'file not found', 'details': '{\n  ""context"": [\n    {\n      ""operation"": ""Directory List / File Scan"",\n      ""path"": ""/home/panorama/1000genome-workflow/bin/individuals_wrapper.sh""\n    }\n  ],\n  ""error"": {\n    ""body"": ""550-GlobusError: v=1 c=PATH_NOT_FOUND\\\\r\\\\n550-GridFTP-Errno: 2\\\\r\\\\n550-GridFTP-Reason: System error in stat\\\\r\\\\n550-GridFTP-Error-String: No such file or directory\\\\r\\\\n550 End.\\\\r\\\\n"",\n    ""code"": 550,\n    ""endpoint"": ""georgepap#exo-data2 (710427ca-7331-11e8-9393-0a6d4e044368)"",\n    ""server"": ""gsiftp://165.124.159.6:2811"",\n    ""type"": ""FTPServerError""\n  }\n}', 'DATA_TYPE': 'event', 'code': 'FILE_NOT_FOUND'}]",,710427ca-7331-11e8-9393-0a6d4e044368,0,0,FAILED,False,georgepap,False,1,georgepap#exo-data2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:57:13+00:00,False,task,0,0,2018-06-27T21:58:17.969Z,georgepap#exo-master2,0,1,0,0cd85cc8-7a55-11e8-9434-0a6d4e044368,False,3,stage_in_local_local_0_1,2018-06-27 21:57:15+00:00,3,0,,,ignore,georgepap#exo-data2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_0_1,0,"{'description': 'canceled', 'code': 'CANCELED'}",8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:58:16+00:00,0,,,2
7,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 22:26:13+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 4\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 22:26:13+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 829898,\n  ""mbps"": 3.57,\n  ""duration"": 1.86\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 22:26:11+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,168491,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-data2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 22:26:05+00:00,False,task,0,8,2018-06-27T22:26:18.493Z,georgepap#exo-data2,0,4,0,15a5085c-7a59-11e8-9434-0a6d4e044368,False,0,stage_out_local_local_2_1,2018-06-27 22:26:08+00:00,8,4,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_out_local_local_2_1,829898,,710427ca-7331-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 22:26:13+00:00,0,,,0
8,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 22:26:06+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 5\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 22:26:06+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 902160,\n  ""mbps"": 3.29,\n  ""duration"": 2.2\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 22:26:04+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,167135,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-data2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 22:25:58+00:00,False,task,0,10,2018-06-27T22:26:11.090Z,georgepap#exo-data2,0,5,0,115feb54-7a59-11e8-9434-0a6d4e044368,False,0,stage_out_local_local_2_2,2018-06-27 22:26:00+00:00,10,5,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_out_local_local_2_2,902160,,710427ca-7331-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 22:26:06+00:00,0,,,0
9,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:42+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 2\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:42+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 6104,\n  ""mbps"": 0.04,\n  ""duration"": 1.09\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:41+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,710427ca-7331-11e8-9393-0a6d4e044368,80,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-data2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:23+00:00,False,task,0,4,2018-06-27T21:56:47.750Z,georgepap#exo-master2,0,2,0,cbadd714-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_1,2018-06-27 21:55:26+00:00,4,2,,,ignore,georgepap#exo-data2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_1,6104,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:42+00:00,0,,,0
10,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 22:00:40+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 22:00:40+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 4248,\n  ""mbps"": 0.04,\n  ""duration"": 0.89\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 22:00:39+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,710427ca-7331-11e8-9393-0a6d4e044368,1184,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-data2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 22:00:34+00:00,False,task,0,2,2018-06-27T22:00:47.078Z,georgepap#exo-master2,0,1,0,84ec0fca-7a55-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_2,2018-06-27 22:00:36+00:00,2,1,,,ignore,georgepap#exo-data2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_2,4248,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 22:00:40+00:00,0,,,0
11,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:36+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:36+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 64,\n  ""mbps"": 0.0,\n  ""duration"": 0.82\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:35+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,1,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:21+00:00,False,task,0,2,2018-06-27T21:56:45.653Z,georgepap#exo-master2,0,1,0,ca196dca-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_1_0,2018-06-27 21:55:24+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_1_0,64,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:36+00:00,0,,,0
12,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:56:30+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:30+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 922,\n  ""mbps"": 0.01,\n  ""duration"": 0.7\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:56:29+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,14,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:21+00:00,False,task,0,2,2018-06-27T21:56:35.372Z,georgepap#exo-master2,0,1,0,ca190ad6-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_0_1,2018-06-27 21:55:24+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_0_1,922,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:56:30+00:00,0,,,0
13,False,b821e4e5-52df-41b7-a27c-4881691d259a,0,0,"[{'parent_task_id': None, 'time': '2018-06-27 21:55:21+00:00', 'is_error': False, 'description': 'succeeded', 'details': '{\n  ""files_succeeded"": 1\n}', 'DATA_TYPE': 'event', 'code': 'SUCCEEDED'}, {'parent_task_id': None, 'time': '2018-06-27 21:55:21+00:00', 'is_error': False, 'description': 'progress', 'details': '{\n  ""bytes_transferred"": 63,\n  ""mbps"": 0.0,\n  ""duration"": 1.21\n}', 'DATA_TYPE': 'event', 'code': 'PROGRESS'}, {'parent_task_id': None, 'time': '2018-06-27 21:55:20+00:00', 'is_error': False, 'description': 'started', 'details': '{\n  ""type"": ""GridFTP Transfer"", \n  ""concurrency"": 2, \n  ""parallelism"": 4, \n  ""pipelining"": 20\n}', 'DATA_TYPE': 'event', 'code': 'STARTED'}]",,8264a2f2-7330-11e8-9393-0a6d4e044368,14,0,SUCCEEDED,False,georgepap,False,1,georgepap#exo-master2,georgepap#exo-master2,,7dc85a61-0e02-4d18-add5-600052ace052,2018-06-28 21:55:15+00:00,False,task,0,2,2018-06-27T21:55:27.682Z,georgepap#exo-master2,0,1,0,c6a30294-7a54-11e8-9434-0a6d4e044368,False,0,stage_in_local_local_2_2,2018-06-27 21:55:17+00:00,2,1,,,ignore,georgepap#exo-master2,0,False,7dc85a61-0e02-4d18-add5-600052ace052 - stage_in_local_local_2_2,63,,8264a2f2-7330-11e8-9393-0a6d4e044368,transfer.inv.go,API 0.10,TRANSFER,,2018-06-27 21:55:22+00:00,0,,,0
